ID;Score;Nom;Pop 2012;Densite 2012;Superficie;Longitude [deg];Latitude [deg];Altitude [m]
80;45.64;La Seyne-sur-Mer;60000;2706.36;22.17;5.88333;43.1;176
81;45.6;Ivry-sur-Seine;56700;9295.08;6.1;2.38333;48.8167;48
82;45.53;Lorient;58100;3323.8;17.48;-3.36667;47.75;23
83;45.5;Venissieux;57600;3757.34;15.33;4.88333;45.6833;200
84;45.46;Vincennes;48100;25183.25;1.91;2.43333;48.85;58
85;45.45;Niort;58100;851.91;68.2;-0.46667;46.3167;40
86;45.43;Pessac;57600;1483.77;38.82;-0.61667;44.8;34
87;45.42;Cergy;56100;4815.45;11.65;2.06667;49.0333;71
88;45.41;Chambery;56800;2706.05;20.99;5.93333;45.5667;403
89;45.4;Saint-Quentin;56800;2517.73;22.56;3.28333;49.85;97
90;45.38;Epinay-sur-Seine;52700;11531.73;4.57;2.30833;48.95;41
91;45.37;Bondy;53300;9744.06;5.47;2.46667;48.9;55
92;45.37;Villejuif;53200;9962.55;5.34;2.36667;48.8;96
93;45.35;Pantin;52700;10518.96;5.01;2.4;48.9;73
94;45.34;Maisons-Alfort;52900;9887.85;5.35;2.43333;48.8;38
95;45.32;Fontenay-sous-Bois;52800;9462.37;5.58;2.48333;48.85;78
96;45.28;Montauban;56000;414.29;135.17;1.35;44.0167;140
97;45.27;Montrouge;46700;22560.39;2.07;2.31667;48.8167;76
98;45.24;Beauvais;55000;1651.16;33.31;2.08333;49.4333;114
99;45.21;Hyeres;55100;416.23;132.38;6.11667;43.1167;182
100;45.2;Evry;52500;6302.52;8.33;2.45;48.6333;64
